query_number,query,results,status,exec_time_ms,enum_time_ms
132,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
133,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
134,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
135,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
136,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
137,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
138,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
139,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
140,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
141,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
142,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
143,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..13]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
144,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
145,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
146,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
147,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
148,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
149,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
150,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
151,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
152,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
153,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
154,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..14]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
155,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..15]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
