query_number,query,results,status,exec_time_ms,enum_time_ms
99,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..9]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
100,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
101,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
102,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
103,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
104,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
105,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
106,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
107,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
108,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
109,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
110,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..10]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
111,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
112,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
113,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
114,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
115,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
116,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
117,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
118,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
119,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
120,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
121,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..11]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
122,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..12]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
