query_number,query,results,status,exec_time_ms,enum_time_ms
93,MATCH p=(:Person{id:"224165"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,23,56081
94,MATCH p=(:Person{id:"696585"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,22,58475
95,MATCH p=(:Person{id:"617475"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,25,56430
96,MATCH p=(:Person{id:"613913"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,21,59880
97,MATCH p=(:Person{id:"131416"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,18,58682
98,MATCH p=(:Person{id:"472869"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,16,58037
99,MATCH p=(:Person{id:"5867"})-[:Knows*1..9]->(n) RETURN p LIMIT 100000,100000,OK,17,58361
100,MATCH p=(:Person{id:"1632803"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
101,MATCH p=(:Person{id:"531242"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,100000,OK,26,60663
102,MATCH p=(:Person{id:"1334631"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
103,MATCH p=(:Person{id:"1276136"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,100000,OK,27,58884
104,MATCH p=(:Person{id:"224165"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,100000,OK,42,60976
105,MATCH p=(:Person{id:"696585"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
106,MATCH p=(:Person{id:"617475"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
107,MATCH p=(:Person{id:"613913"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
108,MATCH p=(:Person{id:"131416"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
109,MATCH p=(:Person{id:"472869"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
110,MATCH p=(:Person{id:"5867"})-[:Knows*1..10]->(n) RETURN p LIMIT 100000,100000,OK,20,60278
111,MATCH p=(:Person{id:"1632803"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
112,MATCH p=(:Person{id:"531242"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
113,MATCH p=(:Person{id:"1334631"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
114,MATCH p=(:Person{id:"1276136"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
115,MATCH p=(:Person{id:"224165"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
116,MATCH p=(:Person{id:"696585"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
117,MATCH p=(:Person{id:"617475"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
118,MATCH p=(:Person{id:"613913"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
119,MATCH p=(:Person{id:"131416"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
120,MATCH p=(:Person{id:"472869"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
121,MATCH p=(:Person{id:"5867"})-[:Knows*1..11]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
122,MATCH p=(:Person{id:"1632803"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
123,MATCH p=(:Person{id:"531242"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
124,MATCH p=(:Person{id:"1334631"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
125,MATCH p=(:Person{id:"1276136"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
126,MATCH p=(:Person{id:"224165"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
127,MATCH p=(:Person{id:"696585"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
128,MATCH p=(:Person{id:"617475"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
129,MATCH p=(:Person{id:"613913"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
130,MATCH p=(:Person{id:"131416"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
131,MATCH p=(:Person{id:"472869"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
132,MATCH p=(:Person{id:"5867"})-[:Knows*1..12]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
133,MATCH p=(:Person{id:"1632803"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
134,MATCH p=(:Person{id:"531242"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
135,MATCH p=(:Person{id:"1334631"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
136,MATCH p=(:Person{id:"1276136"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
137,MATCH p=(:Person{id:"224165"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
138,MATCH p=(:Person{id:"696585"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
139,MATCH p=(:Person{id:"617475"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
140,MATCH p=(:Person{id:"613913"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
141,MATCH p=(:Person{id:"131416"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
142,MATCH p=(:Person{id:"472869"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
143,MATCH p=(:Person{id:"5867"})-[:Knows*1..13]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
144,MATCH p=(:Person{id:"1632803"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
145,MATCH p=(:Person{id:"531242"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
146,MATCH p=(:Person{id:"1334631"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
147,MATCH p=(:Person{id:"1276136"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
148,MATCH p=(:Person{id:"224165"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
149,MATCH p=(:Person{id:"696585"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
150,MATCH p=(:Person{id:"617475"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
151,MATCH p=(:Person{id:"613913"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
152,MATCH p=(:Person{id:"131416"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
153,MATCH p=(:Person{id:"472869"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
154,MATCH p=(:Person{id:"5867"})-[:Knows*1..14]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
155,MATCH p=(:Person{id:"1632803"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
156,MATCH p=(:Person{id:"531242"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
157,MATCH p=(:Person{id:"1334631"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
158,MATCH p=(:Person{id:"1276136"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
159,MATCH p=(:Person{id:"224165"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
160,MATCH p=(:Person{id:"696585"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
161,MATCH p=(:Person{id:"617475"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
162,MATCH p=(:Person{id:"613913"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
163,MATCH p=(:Person{id:"131416"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
164,MATCH p=(:Person{id:"472869"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
165,MATCH p=(:Person{id:"5867"})-[:Knows*1..15]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
166,MATCH p=(:Person{id:"1632803"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
167,MATCH p=(:Person{id:"531242"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
168,MATCH p=(:Person{id:"1334631"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
169,MATCH p=(:Person{id:"1276136"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
170,MATCH p=(:Person{id:"224165"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
171,MATCH p=(:Person{id:"696585"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
172,MATCH p=(:Person{id:"617475"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
173,MATCH p=(:Person{id:"613913"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
174,MATCH p=(:Person{id:"131416"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
175,MATCH p=(:Person{id:"472869"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
176,MATCH p=(:Person{id:"5867"})-[:Knows*1..16]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
177,MATCH p=(:Person{id:"1632803"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
178,MATCH p=(:Person{id:"531242"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
179,MATCH p=(:Person{id:"1334631"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
180,MATCH p=(:Person{id:"1276136"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
181,MATCH p=(:Person{id:"224165"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
182,MATCH p=(:Person{id:"696585"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
183,MATCH p=(:Person{id:"617475"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
184,MATCH p=(:Person{id:"613913"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
185,MATCH p=(:Person{id:"131416"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
186,MATCH p=(:Person{id:"472869"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
187,MATCH p=(:Person{id:"5867"})-[:Knows*1..17]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
188,MATCH p=(:Person{id:"1632803"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
189,MATCH p=(:Person{id:"531242"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
190,MATCH p=(:Person{id:"1334631"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
191,MATCH p=(:Person{id:"1276136"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
192,MATCH p=(:Person{id:"224165"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
193,MATCH p=(:Person{id:"696585"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
194,MATCH p=(:Person{id:"617475"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
195,MATCH p=(:Person{id:"613913"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
196,MATCH p=(:Person{id:"131416"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
197,MATCH p=(:Person{id:"472869"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
198,MATCH p=(:Person{id:"5867"})-[:Knows*1..18]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
