query_number,query,results,status,exec_time_ms,enum_time_ms
78,MATCH p=(:Entity{id:'Q41354164'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,31,76
79,MATCH p=(:Entity{id:'Q41411042'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,33,136
80,MATCH p=(:Entity{id:'Q41417942'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,34,81
81,MATCH p=(:Entity{id:'Q4176'})-[:P31]->()-[:P279]->(:Entity{id:'Q16970'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
82,MATCH p=(:Entity{id:'Q4235'})-[:P31]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->(x1) RETURN p LIMIT 100000,223,OK,236,791
83,MATCH p=(:Entity{id:'Q428811'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,35,254
84,MATCH p=(:Entity{id:'Q46'})-[:P31]->()-[:P279*0..]->(x1) RETURN p LIMIT 100000,125,OK,27,624
85,MATCH p=(:Entity{id:'Q480656'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,11,OK,22,131
86,MATCH p=(:Entity{id:'Q480801'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,11,OK,19,121
87,MATCH p=(:Entity{id:'Q481074'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,27,113
88,MATCH p=(:Entity{id:'Q481075'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,32,55
89,MATCH p=(:Entity{id:'Q481120'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,11,OK,30,51
90,MATCH p=(:Entity{id:'Q518801'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,10,OK,37,67
91,MATCH p=(:Entity{id:'Q582379'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,1,OK,33,70
92,MATCH p=(:Entity{id:'Q5964731'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,26,118
94,MATCH p=(:Entity{id:'Q5'})-[:P279|P31]->()-[:P279|P31*0..]->(x1) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
95,MATCH p=(:Entity{id:'Q5'})-[:P279]->()-[:P279|P31*0..]->(x1) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
96,MATCH p=(:Entity{id:'Q640191'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,8,OK,25,96
97,MATCH p=(:Entity{id:'Q64'})-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q811430'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
98,MATCH p=(:Entity{id:'Q64'})-[:P31]->()-[:P279*0..]->(:Entity{id:'Q811430'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
99,MATCH p=(:Entity{id:'Q6661223'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,31,213
100,MATCH p=(:Entity{id:'Q7075'})-[:P279*0..]->(x1) RETURN p LIMIT 100000,213,OK,34,457
102,MATCH p=(:Entity{id:'Q748955'})<-[:P40]-(x1) RETURN p LIMIT 100000,2,OK,21,67
103,MATCH p=(:Entity{id:'Q780438'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,29,86
104,MATCH p=(:Entity{id:'Q80484'})-[:P131*1..]->()-[:P17*0..]->(:Entity{id:'Q145'}) RETURN p LIMIT 100000,0,OK,90,246
105,MATCH p=(:Entity{id:'Q80484'})-[:P131*1..]->()-[:P17*1..]->(:Entity{id:'Q145'}) RETURN p LIMIT 100000,0,OK,79,82
106,MATCH p=(:Entity{id:'Q81328'})-[:P31]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->(x1) RETURN p LIMIT 100000,223,OK,24,132
107,MATCH p=(:Entity{id:'Q8255504'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,8,OK,23,144
108,MATCH p=(:Entity{id:'Q835125'})-[:P31]->()-[:P279*0..]->(x1) RETURN p LIMIT 100000,630,OK,34,1553
109,MATCH p=(:Entity{id:'Q894219'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,24,90
110,MATCH p=(:Entity{id:'Q93633'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,3,OK,30,108
111,MATCH p=(:Entity{id:'Q939035'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,36,152
112,MATCH p=(:Entity{id:'Q994059'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,29,79
113,MATCH p=(:Entity{id:'Q998351'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,28,99
116,MATCH p=(x1)-[:P171|P273|P75|P76|P77|P70|P71|P74|P89*0..]->(:Entity{id:'Q729'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
120,MATCH p=(x1)-[:P131*0..]->()-[:P17*0..1]->()-[:P30*0..1]->()-[:P361*0..1]->(:Entity{id:'Q48'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
124,MATCH p=(x1)-[:P106|P39|P31]->()-[:P279*0..]->(:Entity{id:'Q488383'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
125,MATCH p=(x1)-[:P106|P39|P31]->()-[:P279*0..]->(:Entity{id:'Q515'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
126,MATCH p=(x1)-[:P106|P39|P31]->()-[:P279*0..]->(:Entity{id:'Q5'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
127,MATCH p=(x1)-[:P106|P39|P31]->()-[:P279*0..]->(:Entity{id:'Q8502'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
128,MATCH p=(x1)-[:P1142*0..]->()-[:P1387*0..]->()-[:P361*0..]->(:Entity{id:'Q7264'}) RETURN p LIMIT 100000,277,OK,99,8996
133,MATCH p=(x1)-[:P31|P131*0..]->()-[:P279*0..]->(:Entity{id:'Q618123'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
136,MATCH p=(x1)-[:P106]->()-[:P279*0..]->()-[:P279*0..]->(:Entity{id:'Q483501'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
137,MATCH p=(x1)-[:P131*0..]->()-[:P17]->(:Entity{id:'Q145'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
138,MATCH p=(x1)-[:P131*0..]->()-[:P17]->(:Entity{id:'Q43'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
139,MATCH p=(x1)-[:P131*0..]->()<-[:P527]-(:Entity{id:'Q47588'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
140,MATCH p=(x1)-[:P131|P276*1..]->(:Entity{id:'Q183'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
141,MATCH p=(x1)-[:P136]->()-[:P31*0..1]->()-[:P279*0..]->(:Entity{id:'Q134307'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
145,MATCH p=(x1)-[:P17|P131*0..]->(:Entity{id:'Q12709'}) RETURN p LIMIT 100000,23456,OK,76,39529
146,MATCH p=(x1)-[:P17|P131*0..]->(:Entity{id:'Q37'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
147,MATCH p=(x1)-[:P180]->()-[:P31*0..1]->()-[:P279*0..]->(:Entity{id:'Q3314483'}) RETURN p LIMIT 100000,2873,OK,76,42676
148,MATCH p=(x1)-[:P19]->()-[:P131*0..]->()<-[:P527]-(:Entity{id:'Q47588'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
149,MATCH p=(x1)-[:P19|P20|P551]->(:Entity{id:'Q1741'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
150,MATCH p=(x1)-[:P19|P20|P551]->(:Entity{id:'Q90'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
154,MATCH p=(x1)-[:P276*0..]->()-[:P17*0..]->(:Entity{id:'Q29'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
158,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q11424'}) RETURN p LIMIT 100000,577,OK,74,16047
159,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q12280'}) RETURN p LIMIT 100000,269,OK,24,7473
160,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q13406554'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
161,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q142'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
162,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q16'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
163,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q1726'}) RETURN p LIMIT 100000,12160,OK,17,41643
164,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q18340514'}) RETURN p LIMIT 100000,20,OK,29,444
165,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q2055046'}) RETURN p LIMIT 100000,10,OK,26,612
166,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q2065736'}) RETURN p LIMIT 100000,2024,OK,30,39110
167,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q2487799'}) RETURN p LIMIT 100000,3,OK,35,83
168,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q30'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
169,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q35120'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
170,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q36'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
171,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q3908'}) RETURN p LIMIT 100000,36396,OK,25,33337
172,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q39715'}) RETURN p LIMIT 100000,48,OK,27,1161
173,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q40840'}) RETURN p LIMIT 100000,2102,OK,25,12442
174,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q456'}) RETURN p LIMIT 100000,4359,OK,24,27599
175,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q476028'}) RETURN p LIMIT 100000,6,OK,34,144
176,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q5372'}) RETURN p LIMIT 100000,20,OK,32,374
177,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q77141'}) RETURN p LIMIT 100000,1,OK,22,59
178,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q7880'}) RETURN p LIMIT 100000,5479,OK,22,16684
179,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q811979'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
180,MATCH p=(x1)-[:P279|P131*0..]->(:Entity{id:'Q916475'}) RETURN p LIMIT 100000,7,OK,29,51
181,MATCH p=(x1)-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q154'}) RETURN p LIMIT 100000,14552,OK,74,53596
182,MATCH p=(x1)-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q355304'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
183,MATCH p=(x1)-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q486972'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
184,MATCH p=(x1)-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q56061'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
185,MATCH p=(x1)-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q5'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
186,MATCH p=(x1)-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q618123'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
187,MATCH p=(x1)-[:P31*0..]->()-[:P279*0..]->(:Entity{id:'Q931260'}) RETURN p LIMIT 100000,25,OK,34,231
189,MATCH p=(x1)-[:P31*1..]->()-[:P279*1..]->(:Entity{id:'Q7397'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
190,MATCH p=(x1)-[:P31*0..1]->()-[:P279*0..]->(:Entity{id:'Q105210'}) RETURN p LIMIT 100000,530,OK,66,2097
191,MATCH p=(x1)-[:P31*0..1]->()-[:P279*0..]->(:Entity{id:'Q23397'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
192,MATCH p=(x1)-[:P31*0..1]->()-[:P279*0..]->(:Entity{id:'Q47574'}) RETURN p LIMIT 100000,10509,OK,20,18984
193,MATCH p=(x1)-[:P31*0..1]->()-[:P279*0..]->(:Entity{id:'Q5'}) RETURN p LIMIT 100000,100000,OK,18,21648
194,MATCH p=(x1)-[:P31*0..1]->()-[:P279*1..]->(:Entity{id:'Q11862829'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
200,MATCH p=(x1)-[:P31]->()-[:P31]->()-[:P279*0..]->(:Entity{id:'Q17442446'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
203,MATCH p=(x1)-[:P31]->()-[:P31]->()-[:P279]->(:Entity{id:'Q17442446'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
204,MATCH p=(x1)-[:P31|P106]->()-[:P279*0..]->(:Entity{id:'Q1062083'}) RETURN p LIMIT 100000,754,OK,72,1740
205,MATCH p=(x1)-[:P31|P279*0..]->(:Entity{id:'Q215627'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
206,MATCH p=(x1)-[:P31|P279*1..]->(:Entity{id:'Q12737077'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
207,MATCH p=(x1)-[:P31|P279*1..]->(:Entity{id:'Q21146257'}) RETURN p LIMIT 100000,100000,OK,25,43486
209,MATCH p=(x1)-[:P361*0..]->()-[:P131*0..]->(:Entity{id:'Q5061'}) RETURN p LIMIT 100000,14836,OK,59,12996
210,MATCH p=(x1)-[:P361|P179*0..]->(:Entity{id:'Q83367'}) RETURN p LIMIT 100000,3772,OK,67,2803
213,MATCH p=(x1)-[:P50]->()-[:P31]->()-[:P279*1..]->(:Entity{id:'Q386724'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
214,MATCH p=(x1)<-[:P279]-()<-[:P31]-()-[:P17]->(:Entity{id:'Q183'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
217,MATCH p=(x1)-[:P105*0..]->(:Entity{id:'Q7432'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
218,MATCH p=(x1)-[:P106*0..]->(:Entity{id:'Q177220'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
219,MATCH p=(x1)-[:P106*0..]->(:Entity{id:'Q482980'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
